Date,Exchange Rate (USD/INR),Exchange_Rate_Lag_1,Exchange_Rate_Lag_3,Exchange_Rate_MA_3,Exchange_Rate_Volatility_7,Exchange_Rate_Percent_Change,NIFTY,S&P500,NIFTY_Lag_1,SP500_Lag_1,NIFTY_Percent_Change,SP500_Percent_Change,Interest Rate USA,Interest Rate India,Inflation_Rate_India,Inflation_Rate_US,GDP Rate India,GDP Rate USA,GDP_India_Change,GDP_USA_Change,Exports,Imports,Unemployment_Rate_India,US_Unemployment_Rate,Dollar_Index,Dollar_Index_Percent_Change
2015-02-17,62.151,62.213,62.05,62.138,0.002172642921526284,-0.0009965762782697674,8805.5,2097.0,8711.55,2088.5,0.0107845331772187,0.0040699066315537,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-18,62.083,62.151,62.05,62.149,0.002053172040052793,-0.0010941095074898932,8869.1,2099.7,8805.5,2097.0,0.0072227585032083,0.0012875536480685,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-19,62.18,62.083,62.213,62.138000000000005,0.0014877335188939896,0.00156242449623889,8895.3,2097.4,8869.1,2099.7,0.0029540765128366,-0.001095394580178,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-20,62.266,62.18,62.151,62.17633333333333,0.0013972126279499079,0.0013830813766484429,8833.6,2110.3,8895.3,2097.4,-0.006936247231684,0.0061504720129685,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-21,62.266,62.266,62.083,62.23733333333333,0.0013972126279499079,0.0,8833.6,2110.3,8895.3,2097.4,-0.006936247231684,0.0061504720129685,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-22,62.266,62.266,62.18,62.266,0.0013972126279499079,0.0,8833.6,2110.3,8895.3,2097.4,-0.006936247231684,0.0061504720129685,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-23,62.154,62.266,62.266,62.22866666666667,0.0012683642949542402,-0.0017987344618249912,8754.95,2109.7,8833.6,2110.3,-0.008903504799855,-0.0002843197649624,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-24,62.233,62.154,62.266,62.21766666666667,0.0013007580037723647,0.0012710364578305544,8762.1,2115.5,8754.95,2109.7,0.0008166808491196,0.0027492060482534,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-25,61.853,62.233,62.266,62.080000000000005,0.0027247629494790366,-0.006106085195957012,8767.25,2113.9,8762.1,2115.5,0.0005877586423346,-0.0007563223824154,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-26,61.722,61.853,62.154,61.936,0.002606949358594389,-0.0021179247570853876,8683.85,2110.7,8767.25,2113.9,-0.0095126750121189,-0.0015137896778467,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-27,61.63,61.722,62.233,61.73500000000001,0.0023754415931375034,-0.001490554421438084,8844.6,2104.5,8683.85,2110.7,0.0185113745631257,-0.0029374141280142,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-02-28,61.63,61.63,61.853,61.660666666666664,0.0023754415931375034,0.0,8844.6,2104.5,8683.85,2110.7,0.0185113745631257,-0.0029374141280142,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.151762203259462,0.11114981046761,112.7857,0.0097957232235907
2015-03-01,61.63,61.63,61.722,61.63,0.0023754415931375034,0.0,8844.6,2104.5,8683.85,2110.7,0.0185113745631257,-0.0029374141280142,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.1400661634962708,0.1111493912457999,112.7857,0.0097957232235907
2015-03-02,61.9,61.63,61.63,61.720000000000006,0.0032259993213084514,0.00438098328736003,8956.75,2117.4,8844.6,2104.5,0.0126800533658955,0.0061297220242337,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.1400661634962708,0.1111493912457999,112.7857,0.0097957232235907
2015-03-03,61.81,61.9,61.63,61.78,0.003128288027894857,-0.0014539579967689509,8996.25,2107.8,8956.75,2117.4,0.0044100817818963,-0.004533862283933,0.24,7.75,5.61,0.5306282510621704,4.049691346263318,0.7,-0.7999999999999998,8.07465169527454,1544.8,3014.5,2.1400661634962708,0.1111493912457999,112.7857,0.0097957232235907
